Event,Class,Drw,Ord,Horse,Competitior,S1,T1,S2,T2,S3,T3,FS,NS,DQ,B1,B2,B3,Total,Placing,D,PosD,Division,sts1,sts2,sts3,st1,st2,st3,Unnamed: 29,Dupla
Rock Star Buckle - 2023,Tira Teima,1.0,195.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.112,1.325,2.861,1.522,3.6,1.52,4.021,,,,,,16.961,,,,,6.298,7.983,9.141,3.437,4.383,5.12,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Rock Star Buckle - 2023,Feminina,1.0,49.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.093,1.187,2.93,1.414,3.655,1.295,4.282,,,,,,16.855,5.0,1D,5,5º 1D,6.21,7.999,9.232,3.28,4.344,4.95,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2022,Tira Teima,1.0,80.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.88,1.986,2.677,1.316,3.932,1.246,4.116,,,,,,17.153,104.0,2D,66,,6.543,7.925,9.294,3.866,3.993,5.178,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2022,Principiante A,1.0,4.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.184,1.376,2.822,1.434,3.823,,,,,,,X,21.951,7.0,3D,1,,6.382,8.079,,3.56,4.256,,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2023,Feminino,1.0,3.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.824,1.742,2.727,1.408,3.466,1.515,4.141,,,,,,16.823,5.0,1D,5,5º 1D,6.293,7.601,9.122,3.566,4.135,4.981,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2023,Tira Teima,2.0,391.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.885,1.774,2.77,1.443,3.76,,,,,,,,16.863,55.0,2D,11,,6.429,7.973,,3.659,4.213,,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2023,Tira Teima,1.0,602.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.912,1.445,2.906,1.627,3.53,1.196,4.256,,,,,,16.87,,,,,6.263,8.063,8.982,3.357,4.533,4.726,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2023,Jovem B,1.0,23.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.718,2.142,2.584,1.422,3.713,1.493,4.089,,,,,,17.162,4.0,1D,4,,6.444,7.719,9.295,3.86,4.006,5.206,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2024,Feminino,1.0,103.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.941,1.687,2.797,1.668,3.691,1.179,4.329,,,,X,,22.292,61.0,12D,1,,6.425,8.156,9.199,3.628,4.465,4.87,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2024,Jovem B,1.0,15.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.097,1.497,2.903,1.376,3.684,1.198,4.301,,,,,,17.056,4.0,1D,4,,6.497,7.963,9.183,3.594,4.279,4.882,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2024,Tira Teima,2.0,357.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.995,1.544,2.944,1.307,3.886,1.106,4.254,,,,X,,22.036,,,,,6.483,8.137,9.246,3.539,4.251,4.992,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
Top Show Rancho Vinte Vinte - 2024,Tira Teima,1.0,481.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.128,1.24,2.954,1.541,3.58,1.165,4.238,,,X,,,21.845,445.0,11D,4,,6.322,8.075,8.983,3.368,4.495,4.745,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
VS Indoor - 2022,Tira Teima,2.0,138.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.948,1.456,2.828,1.435,3.655,1.273,4.202,,,,,,16.797,40.0,2D,26,,6.232,7.918,9.13,3.404,4.263,4.928,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
VS Indoor - 2022,Tira Teima,1.0,149.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.777,1.62,2.895,1.44,3.658,1.287,4.187,,,,,,16.864,,,,,6.292,7.993,9.132,3.397,4.335,4.945,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
VS Indoor - 2022,Tira Teima,3.0,77.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.717,2.018,2.589,1.768,3.589,1.08,4.305,,,,,,17.065,116.0,3D,57,,6.324,7.946,8.974,3.735,4.357,4.669,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
VS Indoor - 2022,Jovem A,1.0,27.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.853,1.595,2.937,1.318,3.561,1.346,4.197,,,,,,16.806,1.0,1D,1,1º 1D,6.385,7.816,9.104,3.448,4.255,4.907,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
