Event,Class,Drw,Ord,Horse,Competitior,S1,T1,S2,T2,S3,T3,FS,NS,DQ,B1,B2,B3,Total,Placing,D,PosD,Division,sts1,sts2,sts3,st1,st2,st3,Unnamed: 29,Dupla
2o Mega Show Rancho Mariana - 2022,Tira Teima,1.0,267.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.948,1.72,2.532,1.666,3.839,1.39,4.062,,,,,,17.156,112.0,2D,78,,6.2,8.037,9.291,3.668,4.198,5.229,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2o Mega Show Rancho Mariana - 2022,Jovem A,1.0,15.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.855,1.752,2.626,1.679,3.901,1.312,4.059,,,,,,17.183,2.0,1D,2,2º 1D,6.233,8.206,9.272,3.607,4.305,5.213,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2o SPEED Barrel ORGANNACT,Feminino,1.0,22.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.788,1.743,2.808,1.503,3.491,1.193,4.314,,,,,,16.839,1.0,1D,1,,6.339,7.802,8.998,3.531,4.311,4.684,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
"3, Mega Show Rancho Mariana - 2023",Feminino,1.0,61.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.775,1.839,2.838,1.333,3.859,1.575,5.373,,X,,X,X,28.591,,,,,6.452,8.03,10.807,3.614,4.171,5.434,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
"3, Mega Show Rancho Mariana - 2023",Tira Teima,1.0,315.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.906,1.575,2.78,1.167,3.943,1.11,4.262,,,,,X,21.744,,,,,6.261,7.89,9.315,3.481,3.947,5.053,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa - IX Copa Rancho Mariana,Jovem A,1.0,6.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.12,1.825,2.667,1.526,4.146,1.311,4.289,,,,,,17.914,4.0,2D,1,,6.612,8.339,9.746,3.945,4.193,5.457,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa - IX Copa Rancho Mariana,Principiante A,1.0,1.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.911,2.105,2.648,1.408,4.142,1.32,4.138,,,,,,17.672,1.0,1D,1,,6.664,8.198,9.6,4.016,4.056,5.462,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa - X Copa Rancho Mariana,Tira Teima,2.0,75.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.814,1.487,2.799,1.389,3.66,1.309,4.219,,,,,,16.676,1.0,1D,1,,6.1,7.848,9.188,3.301,4.188,4.969,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa - X Copa Rancho Mariana,Tira Teima,1.0,146.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.822,1.975,2.634,1.453,3.808,1.352,4.147,,,X,,,22.191,,,,,6.431,7.895,9.307,3.797,4.087,5.16,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa - X Copa Rancho Mariana,Jovem A,1.0,8.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.977,1.409,2.833,1.439,3.529,1.201,4.254,,,X,,,21.641,14.0,6D,1,,6.219,7.801,8.984,3.386,4.272,4.73,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa - X Copa Rancho Mariana,Feminina,1.0,21.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.723,1.792,2.647,1.345,3.8,1.347,4.129,,,,,,16.781,1.0,1D,1,,6.162,7.792,9.276,3.515,3.992,5.147,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa XXV Campeonato NBQM - Bauru-SP,Jovem A,1.0,1.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.971,1.895,2.671,1.431,3.912,1.397,4.05,,,,,,17.326,1.0,1D,1,1º 1D,6.537,8.014,9.359,3.866,4.102,5.309,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa XXV Campeonato NBQM - Bauru-SP,Principiante A,1.0,1.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.96,1.795,2.78,1.466,3.954,1.359,4.03,,,,,,17.344,2.0,1D,2,,6.535,8.2,9.343,3.755,4.246,5.313,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa XXVI Campeonato NBQM - Bauru-SP,Open NBQM,2.0,108.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.057,1.55,2.88,1.297,4.06,,,,,X,,,22.072,193.0,10D,6,,6.487,8.237,,3.607,4.177,,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa XXVI Campeonato NBQM - Bauru-SP,Jovem A,1.0,3.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.87,1.531,2.831,1.584,3.671,1.35,4.036,,,,,,16.874,1.0,1D,1,,6.232,8.086,9.057,3.401,4.415,5.021,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa XXVI Campeonato NBQM - Bauru-SP,Feminino,1.0,24.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.964,1.55,2.865,1.491,3.655,1.348,4.245,,,X,,X,27.117,19.0,5D,1,,6.379,8.011,9.248,3.514,4.356,5.003,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa da XIII Copa Victory Fly de Tambor FNSL,Jovem A,1.0,4.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.957,1.768,2.869,1.323,3.613,1.293,4.292,,,,,,17.114,1.0,1D,1,,6.594,7.805,9.198,3.725,4.192,4.906,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
3a Etapa da XIII Copa Victory Fly de Tambor FNSL,Tira Teima,2.0,7.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.757,1.942,2.718,1.249,5.098,1.934,5.895,,,,X,,25.593,51.0,11D,1,,6.417,9.065,12.927,3.699,3.967,7.032,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
